# 使用#符号开头的内容将会被程序忽略
# 以下是单词表的示例，单词表不允许空空行

# 短语

stance;位置；n.姿态

composition;n.成分；作品；合成物

contract;n.合同；感染（疾病）；招致

individual;adj.单独的；个体

narrative;n.记叙文；adj.讲述的

constitution;组织；体质；组成

distinguish;vt & vi.辨别；区别

consistent;adj.始终如一的；一致的

practitioner;n.从业者；实践者

architecture;n.建筑学；体系结构

appropriate;adj.适当的；vt.挪用

exaggerate;（使）增加；夸张

relationship;n.关系；联系

anticipate;vt.先于...行动；期望

ambitious;追求；抱负、志向

indispensable;adj.必不可少的；必须的

# 句子

~~This is also the spiritual successor to the 3DS which means that we're finally getting games such as Pokemon,moving over to a full, proper Nintendo console.;这也算是3DS的精神续作，也就是说，宝可梦终于要上主机平台了。

~~There's always a constant fear of falling behind everyone else on the socially perpetuated race to the finish line, whether that be toward graduate school, medical school or lucrative career.;社会上永久延续着一场“向终点冲刺的比赛”，无论终点是研究生院、医学院还是赚钱的职业，人们总有一种落后于别人的担忧

~~It's worth clarifying that these findings relate to relatively brief periods of solitude. This is distinct from prolonged loneliness.;值得说明的一点是，上述研究结果只能表明相对短暂的独处时间对情绪的影响，与长期孤独对情绪的影响截然不同

~~As the number of business schools increases-the AACSB, a body which accredits 633 business schools in 41 countries, estimates there are now 13,670 institutions worldwide offering a business degree-being able to distinguish yourself from the masses matters more and more.;国际商学院联合会(AACSB)估计现在全世界有13670所机构提供商业学位的教育，国际商学院联合会(AACSB)在41个国家认证了633所商学院。当商学院数量不断增加，如何让自己在大众中脱颖而出显得越来越重要

~~Scientists believe that New Zealand has no native land mammals, that only birds and a couple of species of bats existed there when humans arrived.;科学家表示，新西兰本土没有哺乳动物，当人们进入这方土地的时候，这里只有鸟类和一些蝙蝠

~~As a student, he worked odd jobs to help his family get through the tail end of the Great Depression, including delivering sandwiches in Manhattan, a far cry from his dreams of writing sci-fi novels.;在学生时期，他就做些零工帮衬家里度过经济大萧条的尾声时期。他在曼哈顿送过三明治，这与他写科幻小说的梦想相去甚远
